"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-03 09:00:00" 28.4710693359375 41.1520385742188 "sxk4pg" 59 126 82 11
"2021-03-01 12:00:00" 28.7127685546875 40.9707641601562 "sxk3j6" 4 44 20 56
"2021-03-01 15:00:00" 28.1414794921875 41.0751342773438 "sxk18m" 13 132 69 47
"2021-03-02 06:00:00" 28.7677001953125 41.2399291992188 "sxk6we" 62 95 81 15
"2021-03-01 13:00:00" 29.0313720703125 40.9872436523438 "sxk9ht" 3 72 22 71
"2021-03-03 09:00:00" 28.9654541015625 41.0092163085938 "sxk971" 1 48 14 31
"2021-03-03 06:00:00" 28.8226318359375 41.0531616210938 "sxk3xc" 6 63 30 46
"2021-03-03 13:00:00" 28.1744384765625 41.1135864257812 "sxk1ch" 14 139 76 25
"2021-03-01 02:00:00" 29.2510986328125 41.1685180664062 "sxkf1w" 44 108 76 85
"2021-03-01 18:00:00" 28.5150146484375 41.0971069335938 "sxk3bc" 2 138 78 181
"2021-03-01 18:00:00" 28.1304931640625 41.0751342773438 "sxk18j" 37 126 78 56
"2021-03-03 21:00:00" 28.8116455078125 41.0147094726562 "sxk3rd" 8 148 78 232
"2021-03-02 16:00:00" 28.7896728515625 41.0311889648438 "sxk3rj" 6 78 38 158
"2021-03-03 20:00:00" 28.2513427734375 41.0916137695312 "sxk1fb" 16 83 54 12
"2021-03-04 10:00:00" 28.4600830078125 41.1575317382812 "sxk4ps" 24 138 69 29
"2021-03-02 18:00:00" 28.6907958984375 41.0696411132812 "sxk3su" 6 73 30 78
"2021-03-02 17:00:00" 28.5919189453125 41.2564086914062 "sxk6dw" 65 128 94 21
"2021-03-01 09:00:00" 28.7567138671875 40.9817504882812 "sxk3nk" 2 95 29 349
"2021-03-03 15:00:00" 28.9764404296875 41.0311889648438 "sxk97m" 2 71 25 105
"2021-03-02 11:00:00" 28.8665771484375 41.0531616210938 "sxk98c" 1 122 32 487
"2021-03-02 21:00:00" 28.1854248046875 41.1190795898438 "sxk1cm" 57 144 88 48
"2021-03-04 01:00:00" 29.1961669921875 41.1904907226562 "sxkf26" 46 133 81 129
"2021-03-01 23:00:00" 28.7677001953125 41.0147094726562 "sxk3qd" 14 82 48 25
"2021-03-04 13:00:00" 28.8336181640625 41.0092163085938 "sxk921" 1 37 15 80
"2021-03-04 08:00:00" 29.3280029296875 40.9872436523438 "sxkc5m" 59 158 98 70
"2021-03-02 21:00:00" 28.8116455078125 41.0311889648438 "sxk3rt" 6 144 59 298
"2021-03-03 22:00:00" 29.2181396484375 40.9817504882812 "sxkc0u" 7 153 64 229
"2021-03-02 13:00:00" 29.0753173828125 41.1080932617188 "sxk9ve" 6 54 32 19
"2021-03-01 20:00:00" 28.9544677734375 41.2344360351562 "sxkddf" 58 145 85 191
"2021-03-02 17:00:00" 28.6578369140625 41.0092163085938 "sxk3k1" 5 87 46 251
"2021-03-01 18:00:00" 29.2840576171875 41.1190795898438 "sxkcfm" 32 171 91 134
"2021-03-04 11:00:00" 29.1412353515625 40.9103393554688 "sxk8xp" 10 91 52 31
"2021-03-04 08:00:00" 29.1192626953125 40.9982299804688 "sxk9nx" 2 120 29 556
"2021-03-03 11:00:00" 28.8336181640625 40.9927368164062 "sxk90n" 1 94 30 441
"2021-03-04 14:00:00" 28.1744384765625 41.1245727539062 "sxk1cn" 60 143 92 44
"2021-03-01 00:00:00" 29.3389892578125 40.9378051757812 "sxkbgs" 49 152 83 62
"2021-03-01 12:00:00" 28.3721923828125 41.0806274414062 "sxk1tw" 31 125 86 93
"2021-03-04 12:00:00" 29.0203857421875 41.2014770507812 "sxkdkk" 18 72 41 15
"2021-03-03 06:00:00" 28.8995361328125 40.9817504882812 "sxk91s" 7 101 53 60
"2021-03-03 22:00:00" 28.6798095703125 41.0092163085938 "sxk3k9" 38 155 74 168
"2021-03-01 18:00:00" 28.8336181640625 41.0421752929688 "sxk92p" 2 48 16 154
"2021-03-04 04:00:00" 29.1302490234375 40.9872436523438 "sxk9nv" 8 90 40 11
"2021-03-02 03:00:00" 28.9215087890625 41.1355590820312 "sxkd40" 26 86 62 31
"2021-03-04 16:00:00" 29.1192626953125 41.0256958007812 "sxk9qs" 3 116 50 400
"2021-03-03 20:00:00" 28.0206298828125 41.2014770507812 "sx7fms" 47 138 81 48
"2021-03-04 19:00:00" 29.0533447265625 41.0256958007812 "sxk9mh" 3 102 45 172
"2021-03-02 15:00:00" 28.9764404296875 41.1135864257812 "sxk9gk" 9 90 44 89
"2021-03-03 10:00:00" 28.6688232421875 41.2673950195312 "sxk6u2" 23 91 67 20
"2021-03-04 20:00:00" 28.8006591796875 41.1410522460938 "sxk6p3" 10 127 71 140
"2021-03-01 21:00:00" 29.3280029296875 40.9762573242188 "sxkc57" 57 114 82 100
"2021-03-03 05:00:00" 29.3060302734375 40.9213256835938 "sxkbfc" 26 89 55 21
"2021-03-01 16:00:00" 29.0972900390625 40.9542846679688 "sxk8yp" 1 59 19 156
"2021-03-04 14:00:00" 28.6248779296875 41.0751342773438 "sxk3em" 6 79 34 153
